"longitude" "latitude" "date" "ozone"
"-123.34917" "39.40306" "08-01-2001" "26.375"
"-120.43361" "37.28167" "08-01-2001" "70.75"
"-118.97334" "37.64806" "08-01-2001" "63.15"
"-121.73055" "36.49583" "08-01-2001" "27.375"
"-121.11555" "36.2275" "08-01-2001" "27"
"-121.80527" "36.57472" "08-01-2001" "28.375"
"-121.62222" "36.69472" "08-01-2001" "28.375"
"-122.29472" "38.31083" "08-01-2001" "29.5"
"-121.05556" "39.23444" "08-01-2001" "80.5"
"-120.84444" "39.31667" "08-01-2001" "79"
"-120.17028" "39.33861" "08-01-2001" "56"
"-117.92568" "33.67464" "08-01-2001" "41.375"
"-117.67593" "33.63003" "08-01-2001" "30.75"
"-117.95264" "33.92513" "08-01-2001" "48.5"
"-121.10389" "38.93778" "08-01-2001" "62.375"
"-121.26528" "38.74583" "08-01-2001" "57.25"
"-121.21667" "38.78889" "08-01-2001" "63.75"
"-116.85841" "33.92086" "08-01-2001" "72.375"
"-116.21537" "33.70853" "08-01-2001" "40.75"
"-116.54101" "33.85275" "08-01-2001" "57.25"
"-117.22764" "33.78942" "08-01-2001" "72"
"-117.41601" "33.99958" "08-01-2001" "51.5"
"-117.33098" "33.67649" "08-01-2001" "63.75"
"-121.38" "38.71278" "08-01-2001" "56.625"
"-121.36694" "38.61417" "08-01-2001" "48.286"
"-121.49194" "38.55833" "08-01-2001" "43.75"
"-121.42222" "38.30194" "08-01-2001" "54.875"
"-121.16278" "38.68389" "08-01-2001" "64.5"
"-121.51334" "38.63694" "08-01-2001" "45.375"
"-121.21" "38.49445" "08-01-2001" "63"
"-121.36111" "36.84417" "08-01-2001" "29.75"
"-121.15556" "36.48528" "08-01-2001" "47.5"
"-117.02361" "34.895" "08-01-2001" "62.125"
"-117.27235" "34.2431" "08-01-2001" "77.5"
"-117.56306" "34.42611" "08-01-2001" "59.571"
"-116.055" "34.14194" "08-01-2001" "46.375"
"-117.33056" "34.51" "08-01-2001" "45.125"
"-117.62914" "34.10374" "08-01-2001" "48.625"
"-117.39611" "35.76389" "08-01-2001" "54.375"
"-117.49201" "34.10002" "08-01-2001" "46.375"
"-117.28472" "34.41806" "08-01-2001" "45"
"-117.14731" "34.05977" "08-01-2001" "62.125"
"-116.39056" "34.07139" "08-01-2001" "36.125"
"-117.27411" "34.10688" "08-01-2001" "54.125"
